ID,Name,Owner,Controler,Religion,Culture
1229,Berber,ETH,ETH,sunni,beja
1230,Massawa,MED,MED,coptic,tigray
1231,Aswan,MAM,MAM,sunni,al_misr_arabic
1232,Suakin,ETH,ETH,coptic,beja
1233,Kharga,MAM,MAM,sunni,al_misr_arabic
1234,Qasr Ibrim,ETH,ETH,coptic,nubian
1235,Guam,NONE,NONE,animism,polynesian
1236,Rabaul,NONE,NONE,animism,papuan
1237,Hanuabada,NONE,NONE,animism,papuan
1238,Solomon Islands,NONE,NONE,animism,melanesian
1239,Vanuatu,NONE,NONE,animism,melanesian
1240,Hawaii,HAW,HAW,animism,polynesian
1241,Kiribati,NONE,NONE,animism,polynesian
1242,Viti Levu,VIL,VIL,animism,melanesian
1243,Samoa,SAM,SAM,animism,polynesian
1244,Tuamotu Islands,NONE,NONE,animism,polynesian
1245,Manokwari,NONE,NONE,animism,papuan
1246,Ata Whenua,NONE,NONE,animism,maori
1247,Corsica,ITA,ITA,catholic,sardinian
1248,Maldives,DGL,DGL,sunni,malayalam
1249,Yola,NONE,NONE,shamanism,jukun
1250,Vänern,NONE,NONE,NONE,NONE
1251,Vättern,NONE,NONE,NONE,NONE
1252,Gulf of Bothnia,NONE,NONE,NONE,NONE
1253,Eastern Sea of Åland,NONE,NONE,NONE,NONE
1254,Gulf of Finland,NONE,NONE,NONE,NONE
1255,Western Baltic Sea,NONE,NONE,NONE,NONE
1256,Gulf of Riga,NONE,NONE,NONE,NONE
1257,Southern Baltic Sea,NONE,NONE,NONE,NONE
1258,Öresund,NONE,NONE,NONE,NONE
1259,Kattegat,NONE,NONE,NONE,NONE
1260,Lake Peipus,NONE,NONE,NONE,NONE
1261,Ladoga,NONE,NONE,NONE,NONE
1262,Onega,NONE,NONE,NONE,NONE
1263,Barents Sea,NONE,NONE,NONE,NONE
1264,Lofoten Sea,NONE,NONE,NONE,NONE
1265,Northern Norwegian Sea,NONE,NONE,NONE,NONE
1266,Southern Norwegian Sea,NONE,NONE,NONE,NONE
1267,Skagerrak,NONE,NONE,NONE,NONE
1268,Helgoland Bight,NONE,NONE,NONE,NONE
1269,Coast of Holland,NONE,NONE,NONE,NONE
1270,Dogger Bank,NONE,NONE,NONE,NONE
1271,Straits of Dover,NONE,NONE,NONE,NONE
1272,The Channel,NONE,NONE,NONE,NONE
1273,Taveta,NONE,NONE,shamanism,bantu
1274,Coast of Brittany,NONE,NONE,NONE,NONE
1275,Quiberon Bay,NONE,NONE,NONE,NONE
1276,Cote D'Argent,NONE,NONE,NONE,NONE
1277,Bay of Biscay,NONE,NONE,NONE,NONE
1278,Cantabrian Sea,NONE,NONE,NONE,NONE
1279,Tyne,NONE,NONE,NONE,NONE
1280,Firth of Forth,NONE,NONE,NONE,NONE
1281,Coast of Shetland,NONE,NONE,NONE,NONE
